ID,Disease1,Disease2,Native_Water,Fish,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,Causes,Treatments,Vet_Advised,Medicine1,Medicine2,Medicine3,Medicine4,Medicine5,Medicine6,Medicine7,Medicine8
0,Fin or tail rot,Aeromonas salmonicida,ALL,,Fins or tail edges appear white,Frayed and ragged fins,Frayed Tail,Swimming difficulty,Loss of appetite,Settle Bottom of Tank,,,,,,,"The most common causes of fin rot are poor water quality and improperly-low water temperature. 
Overcrowding the tank, feeding outdated food, overfeeding the fish, and moving or handling, bullying from other fish can also cause stress that leads to fin rot.","Several antibiotics are effective in treating fin rot, but the root cause must be addressed to ensure the disease doesn’t return.
Treatment should include a water change and careful examination of the aquarium conditions. 
If there is food debris, vacuum the gravel and take care to avoid overfeeding in the future.
Start putting dates on your fish food, as it loses the vitamin content fairly quickly after the food container is opened. 
Feeding your fish fresh, high-quality food in smaller quantities is far better than frequent, large feedings of stale foods.
Check the pH and temperature of the water, and make sure it is appropriate for your fish species.
 Be sure there is no chlorine, ammonia, or nitrite in the water and the nitrate is under 40 ppm (mg/L).
Once the root cause is corrected, antibiotics will usually cure the disease itself. 
Treatment with a drug that is effective against gram-negative organisms is recommended. 
Consult with a veterinarian who treats fish (there are many Certified Aquatic Veterinarians now) to get the appropriate antibiotics for your fish.",TRUE,Antibiotics for Gram-Negative Organisms,,,,,,,
1,Cloudy Eye,,ALL,,Cloudy white or greyish eyes,Loss of vision,Show signs of distress,,,,,,,,,,"A number of factors can cause eye cloud in fish. 
These lesions may result from poor water quality, including gas imbalances (causing exophthalmos), toxicants (cataract, hyperemia, keratitis and retinitis), nutritional deficiencies (cataract), parasite such as catarrhiniosis which can cause injury to the eye.","Change the filter (or clean it) and get rid of any debris on top or near where they swim around most often.
Check for medications that may have caused some bacteria build up at one end so as not to interfere with whatever is causing their eyesight problem next time these symptoms arise again.
Finally, if that doesn’t help, you will need to cure your fish of bacterial infection using a strong antibiotic. 
You can ask your vet for a prescription or recommended brand, and then administer it according to the guidelines listed on the medication",TRUE,Strong Antibiotics,,,,,,,
2,Columnaris,Cotton Mouth,Freshwater,,Frayed and ragged fins,Skin Ulcer,Skin Peeling,Greyish or White or cloudy patches on the gill,"Mucus on the gills, head, and dorsal regions",Light or dark brown gills,Breathing rapidly,Loss of appetite,Greyish or White or cloudy patches on the mouth,Cotton wool like growth,,,"Columnaris bacteria are commensal bacteria and occur naturally on healthy fish. 
Only when given a stressed out host or particularly nasty strain of bacteria, do the fish begin to show clinical signs. 
It commonly enters a healthy system when infected fish are added without proper quarantine. 
Columnaris can enter the fish through the gills, mouth, or via small wounds on the skin. 
The disease is highly contagious and may be spread through contaminated nets, specimen containers, and even food. 
For this reason, it is important to use sterile techniques to avoid contaminating other tanks.
Prophylactic treatment of all other tanks is wise and is mandatory if they share a common filtration system.​
It is critical to keep a close eye on your tank's temperature, since columnaris bacteria love warmer water (around 80F) and will cause problems faster than in cooler water.","External infections should be treated with antibiotics, chemicals in the water or both.
Copper sulfate, Acriflavine, Furan, and Terramycin may all be used in the water to treat columnaris. 
Terramycin has proven to be quite effective both as a bath, and when used to treat foods for internal infections. 
Salt may be added to the water (1 to 3 teaspoons per gallon of water) to reduce osmotic stress on fish from the damage to the fish's epithelium caused by the bacteria. 
Livebearers, in particular, will benefit from the addition of salt; however, use caution when treating catfish, as many are highly sensitive to salt. 
When in doubt, err on the side of caution when using salt.",FALSE,Copper Sulfate,Acriflavine,Furan,Terramycin,Salt,,,
3,Dropsy,,ALL,,Bloated abdomen or belly,Scales stick out,Eyes protruding,Lethargic behavior,Loss of appetite,Rapid gill movement,,,,,,,"Dropsy in fish is actually a cluster of symptoms caused by an infection from bacteria commonly present in all aquariums. 
Consequently, any fish may be exposed to the dropsy-causing bacteria, but healthy fish rarely fall prey to the disease. 
Fish are only susceptible when their immune system has been compromised by some other stress factor, such as:
Poor water quality
Ammonia or nitrite spikes
A large drop in water temperature
Stress from transportation
Improper nutrition
Aggressive tankmates
Other diseases
The agent that causes the symptoms of dropsy is usually the very common Aeromonas bacteria, one of several gram-negative bacteria present in most aquarium habitats. 
The bacteria will only lead to serious infection in a fish that already has a compromised immune system.","The infection-causing dropsy is not easily cured. 
Some experts recommend that all affected fish be euthanized to prevent the spread of the infection to healthy fish. 
Also, when combined with popeye, the prognosis is bleak. 
However, if the infection is detected early and the fish are isolated for proper treatment, it is possible to save the affected fish. 
Treatment is geared toward correcting the underlying problem and providing supportive care to the sick fish in a ""hospital tank.""
Salt should be added to the hospital tank, again at the ratio of 1 teaspoon per gallon of water. 
Low levels of salt in the water aid in the osmotic balance of the fish by making the water salinity closer to the fish's blood salinity. 
That helps the fish get rid of excess water accumulating in the body, causing dropsy. 
Provide the ill fish with a variety of fresh, high-quality food.
Antibiotics should be used if the fish does not immediately respond. 
A broad-spectrum antibiotic specifically formulated for gram-negative bacteria is recommended, such as Maracyn-Two following the manufacturer's directions for duration and dosage.",FALSE,Salt,Antibiotics for Gram-Negative Bacteria,,,,,,
4,Fish Tuberculosis ,Mycobacterium spp,ALL,,Lethargic behavior,Hollowed belly,Turn pale,Skin Ulcer,Frayed and ragged fins,Fin and scale loss,Yellowish or darker nodules on eyes or body,Loss of appetite,Hiding behavior,,,,"Addition of non-symptomatic (carrier) fish
Addition of infected plants or other biological materials
Transferred on owners hands without proper sanitation
Since many Mycobaterium spp. are common in the environment, not taking the time to properly wash your hands before handling aquarium or fish may transfer bacteria.","There is no effective treatment of fish tuberculosis other than supportive care. 
Some fish can live for a long time with an infection and show no outward clinical signs of disease. 
You may see a long-term pattern of random deaths with no links to other diseases, fish additions, diet or other environmental causes, such as water quality.
If any fish test positive for fish tuberculosis in your system, it is assumed all fish are infected. 
Once a fish in your system has tested positive, you may keep the tank as a closed system, no new fish in or out, and be sure to take proper biosecurity precautions, such as gloves, or elect to depopulate and disinfect your system. 
Depopulation is recommended in immune-compromised environments.",FALSE,,,,,,,,
5,Viral Hemorrhagic Septicemia ,Egtved virus,ALL,,Bright red streaks on fins,Patchy or darker body,Eyes protruding,Bloated abdomen or belly,Signs of bleeding,Breathing rapidly,Gasping at the surface,Erratic swimming,Pale gill,,,,"Viral hemorrhagic septicemia (VHS) is a deadly infectious fish disease caused by Viral hemorrhagic septicemia virus. 
It afflicts over 50 species of freshwater and marine fish.
Different strains of the virus occur in different regions, and affect different species.
VHSV can be spread from fish to fish through water transfer, as well as through contaminated eggs, and fish from infected waters.
Survivors of the disease can become lifelong carriers of the virus, contaminating water with urine, sperm, and ovarian fluids.","As with many viral diseases of fish, there is no specific treatment or cure for VHS.
The bacteria variant, bacterial hemorrhagic septicemia, can be treated with levamisole, metronidazole or praziquantel. 
Metronidazole and praziquantel are especially effective when used as food soaks. 
Antibiotics such as nitrofurazone or erythromycin may also help prevent secondary bacterial infections.
A visit to the vet is advised for proper diagnosis.",TRUE,Levamisole,Metronidazole,Praziquantel,Nitrofurazone (Antibiotics),Erythromycin (Antibiotics),,,
6,Freshwater Ich,White Spot,Freshwater,,White spots on the body and gills,Clamped fins,Lethargic behavior,Breathing rapidly,Loss of appetite,Flashing or Rub against bottom or objects in the tank,Rapid gill movement,Settle Bottom of Tank,,,,,"The most common cause of Ich is failure to quarantine a new fish addition to the aquarium.
Additional causes may include:
Using infected equipment between tanks without proper sanitation
Transferring infected filter media or décor between tanks
Moving infected water between systems","Have a veterinarian examine your sick fish to make a correct diagnosis. 
There are other things on fish that can look remarkably similar to white spot disease that will require different treatment. 
Once a diagnosis is confirmed, there are treatment options available for prescription through your aquatic veterinarian and fish store. 
Monitoring and maintaining your water temperature is critical to ensure the parasite is completely eliminated from your system. 
Many over-the-counter ""treatments"" do not take this into account and if not properly used can severely hurt your fish in addition to not completely treating the Ich.
Many online forums will recommend manipulating your tank temperature to speed up or immobilize Ich. 
Unfortunately, in doing so, you will stress out your fish and make them more susceptible to death from secondary causes.",TRUE,,,,,,,,
7,Popeye,Exophthalmia,ALL,,Eyes protruding,Cloudy white or greyish eyes,Bloodstained eye,Ruptured eye,Loss of vision,Lethargic behavior,,,,,,,"Most commonly, fish popeye is caused by an injury, an infection, or poor water conditions in the aquarium.
If only one eye is affected (unilateral), it is likely that the condition is caused by an injury rather than a problem with the water chemistry. 
This is particularly true if only one fish in a community tank is exhibiting popeye. 
A swollen eye can be the outcome of a fight with another fish, or your fish could have scraped its eye against an abrasive object in the tank. 
If this happens, look for damage to the eye—a dead giveaway that exophthalmia is the result of an injury. 
In most injuries, the protruding eye will eventually recede as it heals.
However, the fish should be monitored closely, as infection can ensue, causing the fish to lose sight in the affected eye.
Another cause of popeye is an infection.
This is most likely seen in both eyes. 
Infection may be caused by a variety of organisms, including bacteria, fungi, and parasites. 
If the fish suffers from both popeye and dropsy (edema of the belly), the prognosis is bleak. 
Internal problems, such as kidney failure or a metabolic issue can result in fluid build-up, making it extremely hard to treat your fish.
Poor water conditions can also contribute to popeye and fish that are sensitive will be affected first. 
If one or more fish in your tank presents with popeye, test your water to determine if something is amiss with its chemistry. 
Also consider supersaturation of gas in the water, which can be seen as tiny bubbles on the sides of the aquarium and even in the fish's skin. 
This can cause gas to accumulate in the eyes and make them swell","Treatment for popeye will depend upon the underlying cause. 
If the eye has been injured, it will typically heal on its own, as long as the fish does not develop a secondary infection or become stressed. 
You can help the fish recover by performing palliative care using aquarium salt while the eye heals (unless contraindicated). 
This helps to relieve the swelling. 
You should also remove any tank decorations that might contribute to further injuries, such as rough or sharp rocks, pointed plants, and decorative items with rough or pointed edges.

Regular water changes and the monitoring of water chemistry are also recommended throughout the recovery time, as poor water condition is a common cause of popeye, as well as other fish ailments. 
If water tests indicate a problem—a drifting pH or elevated ammonia or nitrite—correct it promptly to avoid additional stress

Any fish clearly suffering from a bacterial infection should be moved to a quarantine tank to avoid infecting other fish. 
Treat this fish with a broad-spectrum antibiotic recommended by your pet supplier or veterinarian to resolve the infection. 
If more than one fish is infected, it may be necessary to treat the main tank with antibiotics, as well. 
And all fish should be fed high-quality food to support healthy immune systems.",TRUE,Salt,Antibiotics,,,,,,
8,Swim Bladder Disease,Swim Bladder Disorder,ALL,,Bloated abdomen or belly,Curved spine,Swimming difficulty,Upside down,Erratic swimming,Swimming with heavy head,Gasping at the surface,Spend time on surface,,,,,"This disorder can be caused by many issues, spanning from environment to feeding problems, including the following:
Rapidly eating, overeating, constipation, or gulping air may occur with floating foods to cause an extended belly and displace the swim bladder. 
Eating freeze-dried or dry flake food that expands when it becomes wet can also lead to an enlarged stomach or intestinal tract.
Other abdominal organs may become enlarged and affect the swim bladder. 
Cysts in the kidneys, fatty deposits in the liver, or egg binding in female fish can result in sufficient enlargement to affect the swim bladder.
Low water temperature can slow the digestive process, which in turn can result in gastrointestinal tract enlargement that puts pressure on the swim bladder.
Parasites or bacterial infections can inflame the swim bladder as well.
Occasionally a hard blow from striking an object in the tank, a fight, or fall can damage the swim bladder.
Rarely fish are born with birth defects that affect the swim bladder, but in these cases, symptoms are usually present at an early age.","Treatment involves water maintenance, feeding changes, and possible antibiotics.
Let the fish fast: If an enlarged stomach or intestine is thought to be the cause of a swim bladder disorder, the first course of action is to not feed the fish for three days.
Fix the water temperature: At the same time the fish is fasting, increase the water temperature to 78-80 degrees Fahrenheit and leave it there during treatment.
Feed the fish peas: On the fourth day, feed the fish a cooked and skinned pea. 
Frozen peas are ideal for this, as they can be microwaved or boiled for a few seconds to thaw them, resulting in the proper consistency (not too soft but not too firm).
Antibiotics: If an infection is thought to be the cause of a fish's swim bladder disorder, treatment with a broad-spectrum antibiotic may help, and for this, you'll need to visit your veterinarian.
Other supportive treatments (regardless of the cause) can include the following:
Keep the water especially clean and temperatures between 78 and 80 degrees Fahrenheit.
Add a small amount of aquarium salt to the tank.
Reduce the water level to make it easier for the fish to move around within the tank.
Reduce water flow in tanks with a strong current.
If the affected fish floats with part of its body constantly exposed to the air, applying a bit of Stress Coat water conditioner (which helps improve the fish's slime coat) can help avoid the development of sores and reddened spots.",FALSE,Pea,Salt,Stress Coat Water Conditioner,,,,,
9,Freshwater velvet disease,Gold Dust Disease,Freshwater,,Fine yellow or light brown rust or film on skin,Skin Peeling,Clamped fins,Flashing or Rub against bottom or objects in the tank,Lethargic behavior,Breathing rapidly,Loss of appetite,Rapid gill movement,Sudden Death,,,,"In freshwater fish, Velvet is caused by either Oödinium pillularis or Oödinium limneticum. 
In marine fish, Amyloödinium ocellatum causes the dreaded Coral Fish Disease. 
All three species have symptoms and life cycles similar to the well-known ciliated protozoan parasite, Ich.
Like Ich, Oödinium may be present in most commercial aquariums, but only becomes a problem when the fish are stressed by poor quality water, changes in the water temperature, or being transported.","Raise water temperature
Dim lights for several days
Add aquarium salt
Treat with copper sulfate for ten days
Discontinue carbon filtration during treatment
Because Velvet is highly contagious and usually far advanced before being diagnosed, it is important to take steps to treat it as soon as possible.
Treatment is targeted at the free-swimming stage (tomite) of the parasite.
Copper sulfate is the treatment of choice.
It should be used according to the manufacturer’s instructions for a full ten days to ensure that the parasite is completely eradicated. 
Atabrine (quinacrine hydrochloride) is another medication that can be used to treat Velvet.
Because Oödinium is also photosynthetic, dimming the aquarium lights aids in eliminating the infestation. Increasing the water temperature to 82 degrees F will speed the life cycle of the parasite, making it faster to treat and infestation. 
Adding salt to the water (1 to 3 level teaspoons per gallon of water) will increase the mucus production of the fish to help deter the parasite and will reduce the osmotic stress in the water. Whenever adding any treatment to the aquarium water, activated carbon should be removed from the filter, as it will remove the medications from the water.",FALSE,Salt,Copper Sulfate,Atabrine (Quinacrine Hydrochloride),,,,,
